Name,Address,Latitude,Longitude,Phone,Website,Yelp,IG,FB,City,Region,Cuisine,African,Caribbean,American,Southern,Barbecue,Dessert,Beverages,OtherCuisine,Service,Takeout,Delivery,Catering,Temporarily Closed,OtherService
Coconuts Caribbean,"642 Ramona St, Palo Alto, CA 94301",37.44381,-122.16027,(650) 329-9533,www.coconutspaloalto.com/,https://www.yelp.com/biz/coconuts-caribbean-restaurant-and-bar-palo-alto,https://www.instagram.com/coconutspaloalto,https://www.facebook.com/coconutscaribbean/,Palo Alto,South Bay,Jamaican,,Y,,,,,,,"Takeout, Delivery",Y,Y,,,
Fenn Coffee,"60 Middlefield Rd, Menlo Park, CA 94025",37.454491,-122.163317,(650) 322-743,https://fenncoffee.com/,https://www.facebook.com/fenncoffee/,https://www.instagram.com/fenncoffee,https://www.yelp.com/biz/fenn-coffee-menlo-park,Menlo Park,Peninsula,Coffee,,,,,,,Y,,Delivery,,Y,,,
Back a Yard Caribbean Grill,"1189 Willow Rd, Menlo Park, CA 94025",37.472798,-122.155046,(650) 323-4244,backayard.net,https://www.yelp.com/biz/back-a-yard-caribbean-american-grill-menlo-park,https://www.instagram.com/backayardgrill,https://www.facebook.com/backayardmenlopark/,Menlo Park,Peninsula,Caribbean,,Y,,,,,,,"Takeout, Delivery",Y,Y,,,
Carmen & Family BBQ,"41986 Fremont Blvd, Fremont, California 94538",37.524412,-121.957331,(510) 657-5464,http://carmenandfamilybbq.com/,https://www.yelp.com/biz/carmen-and-family-bar-b-q-fremont,https://www.instagram.com/carmen_and_family_bbq,https://www.facebook.com/carmenbbqfremont/,Fremont,East Bay,Barbecue,,,,,Y,,,,"Takeout, Delivery",Y,Y,,,
Haleluya Ethiopian Gourmet,"4144 Walnut Ave, Fremont, CA 94538",37.543996,-121.983321,(510) 270-8310,,https://www.yelp.com/biz/haleluya-ethiopian-gourmet-fremont,,www.facebook.com/pages/category/Ethiopian-Restaurant/Haleluya-Ethiopian-Gourmet-114027840290429/,Fremont,East Bay,Ethiopian,Y,,,,,,,,Takeout,Y,,,,
Claire's Crunch Cake,"233 N Grant St, San Mateo, CA 94401",37.57483,-122.323755,(650) 344-8690,https://clairescrunchcake.wixsite.com/cakes,https://www.yelp.com/biz/claires-crunch-cake-san-mateo,https://www.instagram.com/clairescrunchcakes,https://www.facebook.com/ClairesCrunchCake/,San Mateo,Peninsula,Dessert,,,,,,Y,,,Takeout,Y,,,,
Cafe Capuchino,"1158 Capuchino Ave, Burlingame, CA 94010",37.584807,-122.365375,(650) 342-2669,,https://www.yelp.com/biz/cafe-capuchino-burlingame,,,Burlingame,Peninsula,Coffee,,,,,,,Y,,Takeout,Y,,,,
Hippies Brew,"3900 Smith St, Union City, CA 94587",37.59635,-122.07907,(510) 461-8629,www.hippiesbrew.com/,https://www.yelp.com/biz/hippies-brew-union-city-2,https://www.instagram.com/hippiesbrew,https://www.facebook.com/HippiesBrew/,Union City,East Bay,Coffee,,,,,,,Y,,Takeout,Y,,,,
Pure Juice & Smoothie Lounge,"3902 Smith St, Union City, CA 94586",37.596361,-122.079133,(510) 400-9033,www.purejuiceandsmoothie.com/,https://www.yelp.com/biz/pure-juice-and-smoothie-lounge-union-city,https://www.instagram.com/purejuicelounge,https://www.facebook.com/purejuiceandsmoothielounge,Union City,East Bay,Juice,,,,,,,Y,,Takeout,Y,,,,
Birdhaus Beer Garden,"3821 Smith St, Union City, CA 94587",37.596809,-122.077422,,www.birdhausbeergarden.com,https://www.yelp.com/biz/birdhaus-beer-garden-union-city-3,https://www.instagram.com/birdhausbeergarden,https://www.facebook.com/BirdhausBeerGarden/,Union City,East Bay,American,,,Y,,,,,,Takeout,Y,,,,
Pop's Deli & Grill,"30982 Huntwood Ave, Hayward, CA 94544",37.61223,-122.05429,(510) 471-1502,www.popsdeliandgrill.com,https://www.yelp.com/biz/pops-deli-and-grill-hayward,,https://www.facebook.com/popsdeliandgrill/,Hayward,East Bay,American,,,Y,,,,,,Takeout,Y,,,,
The Famous Rib Shack,"223 El Camino Real, San Bruno, CA 94066",37.618461,-122.409731,(650) 952-2809,,https://www.yelp.com/biz/the-famous-rib-shack-san-bruno-2,https://www.instagram.com/thefamousribshack,https://www.facebook.com/pages/category/Barbecue-Restaurant/The-Famous-Rib-Shack-154981091229993/,San Bruno,Peninsula,Barbecue,,,,,Y,,,,Takeout,Y,,,,
Just Potato Salad,"29587 Mission Blvd, Hayward, CA 94544",37.630096,-122.048012,(510) 753-9667,,https://www.yelp.com/biz/just-potato-salad-hayward,https://www.instagram.com/explore/locations/146935492406761/just-potato-salad,https://www.facebook.com/justpotatosalad/,Hayward,East Bay,Barbecue,,,,,Y,,,,Takeout,Y,,,,
Shampa's Pies,"1625 Palmetto Ave, Pacifica, CA 94044",37.636127,-122.491897,(415) 412-3592,www.shampaspies.com/,https://www.yelp.com/biz/shampas-pies-pacifica,https://www.instagram.com/shampas_pies,https://www.facebook.com/shampaspies/,Pacifica,Peninsula,Dessert,,,,,,Y,,,Takeout,Y,,,,
Flavas Jamaican Grill,"314 Linden Ave, South San Francisco, CA 94080",37.655706,-122.409765,(650) 244-9785,https://flavasjamaicangrillsf.com/,https://www.yelp.com/biz/flavas-jamaican-grill-south-san-francisco,,https://www.facebook.com/FlavasJamaicanGrillSF,South San Francisco,Peninsula,Jamaican,,Y,,,,,,,"Takeout, Delivery",Y,Y,,,
Family House of Fish & Poultry,"25140 Mission Blvd, Hayward, CA 94544",37.658215,-122.072133,(510) 886-4112,,https://www.yelp.com/biz/family-house-of-fish-and-poultry-hayward,,www.facebook.com/Family-House-of-Fish-and-Poultry-147661838584980/,Hayward,East Bay,Southern,,,,Y,,,,,Takeout,Y,,,,
Oyo,"680 Main St, Pleasanton, CA 94566",37.662555,-121.87448,(925) 249-5936,oyopleasanton.com,https://www.yelp.com/biz/oyo-pleasanton-2,https://www.instagram.com/oyopleasanton,https://www.facebook.com/oyopleasanton/,Pleasanton,East Bay,Caribbean,,Y,,,,,,,"Takeout, Delivery",Y,Y,,,
Carmen & Family BBQ,"692 W A St, Hayward, CA 94545",37.665701,-122.112923,(510) 887-1979,http://carmenandfamilybbq.com/,https://www.yelp.com/biz/carmen-and-family-bar-b-q-hayward,https://www.instagram.com/carmen_and_family_bbq,https://www.facebook.com/pages/category/American-Restaurant/Carmen-Family-Bar-B-Q-113556578667817/,Hayward,East Bay,Barbecue,,,,,Y,,,,"Takeout, Delivery",Y,Y,,,
Hippies Brew,"888 C St, Hayward, CA 94541",37.670579,-122.083283,(510) 461-8629,www.hippiesbrew.com/,https://www.yelp.com/biz/hippies-brew-express-hayward-2,https://www.instagram.com/hippiesbrew,https://www.facebook.com/HippiesBrew/,Hayward,East Bay,Coffee,,,,,,,Y,,Takeout,Y,,,,
PL&atildeYT,"1036 B St, Hayward, CA 94541",37.67351,-122.08219,(510) 888-1092,http://playtonb.com/,https://www.yelp.com/biz/playt-hayward-2,https://www.instagram.com/playthayward,https://www.facebook.com/playthayward/,Hayward,East Bay,Southern,,,,Y,,,,,"Takeout, Delivery",Y,Y,,,
Reuschelle's Cheesecakes,"974 A St, Hayward, CA 94541",37.673851,-122.084176,(510) 219-2997,www.reuschelles.com/,https://www.yelp.com/biz/reuschelles-cheesecakes-hayward-3,https://www.instagram.com/reuschelles,https://www.facebook.com/Reuschelles/,Hayward,East Bay,Dessert,,,,,,Y,,,Delivery,,Y,,,
Golden Safari,"22431 Foothill Blvd, Hayward, CA 94541",37.676313,-122.082893,(510) 460-9625,https://goldensafari.net/,https://www.yelp.com/biz/golden-safari-hayward,https://www.instagram.com/goldensafari_restaurant,https://www.facebook.com/GoldenSafariRestaurant/,Hayward,East Bay,Nigerian,Y,,,,,,,,"Takeout, Delivery",Y,Y,,,
Keith's Chicken and Waffles,"270 San Pedro Rd, Daly City, CA 94014",37.686902,-122.469652,(415) 347-7208,www.keithschickennwaffles.com,https://www.yelp.com/biz/keiths-chicken-n-waffles-daly-city,https://www.instagram.com/keithschickenandwaffles,https://www.facebook.com/Keithschickenandwaffles/,Daly City,Peninsula,Southern,,,,Y,,,,,Takeout,Y,,,,
Red's House,"25 Washington St, Daly City, CA 94014",37.687719,-122.469352,(415) 562-7538,www.eatreds.com,https://www.yelp.com/biz/reds-house-sf-daly-city-2,https://www.instagram.com/redshousesf,,Daly City,Peninsula,Caribbean,,Y,,,,,,,"Takeout, Delivery",Y,Y,,,
Andreamarie Cakes,"16395 E 14th St, San Leandro, CA 94578",37.694772,-122.113918,(925) 255-6438,www.andreamariecakes.com,https://www.yelp.com/biz/andreamarie-custom-cakes-and-treats-san-leandro,https://www.instagram.com/andreamariecakes19,https://www.facebook.com/andreamariecakes/,San Leandro,East Bay,Dessert,,,,,,Y,,,Catering,,,Y,,
I Am Cafe,"16395 E 14th St C, San Leandro, CA 94578",37.694772,-122.113918,(510) 747-8662,www.iamashland.com/,https://www.yelp.com/biz/i-am-cafe-san-leandro-3,https://www.instagram.com/iamcafe_ashland,https://www.facebook.com/iamcafeashland/,San Leandro,East Bay,Southern,,,,Y,,,,,Takeout,Y,,,,
Theo’s CheeseSteak Shop,"15696 E 14th St, San Leandro, CA 94578",37.701945,-122.123378,(510) 674-9224,www.theoscheesesteak.com/,https://www.yelp.com/biz/theos-cheesesteak-shop-san-leandro-2,https://www.instagram.com/explore/locations/1622012/theos-cheesesteak-shop,https://www.facebook.com/Theos-Cheesesteak-Shop-111445962255659/?rf=443542916094642,San Leandro,East Bay,American,,,Y,,,,,,"Takeout, Delivery",Y,Y,,,
Pinx Catering,"1933 Davis St, San Leandro, CA 94577",37.716728,-122.180069,(855) 984-7469,www.pinxcatering.com/,https://www.yelp.com/biz/pinx-san-leandro-2,https://www.instagram.com/pinxcatering,https://www.facebook.com/pages/category/Caterer/Pinx-Catering-162204197184127/,San Leandro,East Bay,Global,,,,,,,,Y,"Delivery, Catering",,Y,Y,,
Kendejah Restaurant,"197 Pelton Center Way, San Leandro, CA 94577",37.722606,-122.154658,(510) 756-6049,http://kendejahrestaurant.com/,https://www.yelp.com/biz/kendejah-restaurant-san-leandro,https://www.instagram.com/kendejah_ca,https://www.facebook.com/KendejahRestaurant/,San Leandro,East Bay,Liberian,Y,,,,,,,,"Takeout, Delivery",Y,Y,,,
Excelsior Coffee,"4495 Mission St, San Francisco, CA 94112",37.726273,-122.433311,(415) 347-7333,www.xlcrsf.com,https://www.yelp.com/biz/excelsior-coffee-san-francisco,https://www.instagram.com/excelsiorcoffeesf,https://www.facebook.com/excelsiorcoffeesf/,San Francisco (Excelsior),San Francisco,Coffee,,,,,,,Y,,Takeout,Y,,,,
Cafe Envy,"1701 Yosemite Ave, San Francisco, CA 94124",37.727845,-122.393751,(415) 800-7394,,https://www.yelp.com/biz/cafe-envy-san-francisco,https://www.instagram.com/cafe_envy_sf,www.facebook.com/CafeEnvySF/,San Francisco (Bayview),San Francisco,Californian,,,Y,,,,,,Temporarily Closed,,,,Y,
Scends,"635 E 14th St, San Leandro, CA 94577",37.730435,-122.160519,(510) 567-3955,www.scendsrestaurant.com/,https://www.yelp.com/biz/scends-restaurant-san-leandro-2,,https://www.facebook.com/pages/category/Chicken-Joint/Scends-Restaurant-114157538608447/,San Leandro,East Bay,Southern,,,,Y,,,,,"Takeout, Delivery",Y,Y,,,
Frisco Fried,"5176 3rd St, San Francisco, CA 94124",37.731116,-122.392354,(415) 822-1517,http://friscofried.biz/,https://www.yelp.com/biz/frisco-fried-san-francisco,https://www.instagram.com/friscofried,https://www.facebook.com/FriscoFried/,San Francisco (Bayview),San Francisco,Southern,,,,Y,,,,,"Takeout, Delivery",Y,Y,,,
Let's Eat BBQ,"5130 3rd St, San Francisco, CA 94124",37.731856,-122.391964,(415) 822-2881,,https://www.yelp.com/biz/lets-eat-bbq-and-more-san-francisco,,https://www.facebook.com/pages/category/Barbecue-Restaurant/Lets-Eat-BBQ-More-144830652247764/,San Francisco (Bayview),San Francisco,Barbecue,,,,,Y,,,,Temporarily Closed,,,,Y,
Yvonne's Southern Sweets,"5128 3rd St, San Francisco, CA 94124",37.7319,-122.391943,(415) 368-7900,www.yvonnessouthernsweets.com/,https://www.yelp.com/biz/yvonnes-southern-sweets-san-francisco,https://www.instagram.com/yvonnessouthernsweets,https://www.facebook.com/pages/category/Bakery/Yvonnes-Southern-Sweets-167149399971664/,San Francisco (Bayview),San Francisco,Dessert,,,,,,Y,,,Takeout,Y,,,,
Sistas Soul Food Kafe,"571 Bancroft Ave, San Leandro, CA 94577",37.733997,-122.151526,(510) 228-2250,http://sistassoulkafe.weebly.com/,https://www.yelp.com/biz/sistas-soul-food-kafe-san-leandro,,https://www.facebook.com/sistassoulfoodkafe/,San Leandro,East Bay,Southern,,,,,Y,,,,Takeout,Y,,,,
Radio Africa Kitchen,"4800 3rd St, San Francisco, CA 94124",37.734704,-122.390972,(415) 420-2486,www.radioafricakitchen.com,https://www.yelp.com/biz/radio-africa-kitchen-san-francisco,https://www.instagram.com/radioafricakitchen,https://www.facebook.com/pages/category/Ethiopian-Restaurant/Radio-Africa-Kitchen-214817898543835/,San Francisco (Bayview),San Francisco,Ethiopian,Y,,,,,,,,Takeout,Y,,,,
Auntie April’s,"4618 3rd St, San Francisco, CA 94124",37.736197,-122.39058,(415) 236-4158,,https://www.yelp.com/biz/auntie-aprils-chicken-n-waffles-san-francisco-2,https://www.instagram.com/auntieaprils,https://www.facebook.com/AuntieAprils/,San Francisco (Bayview),San Francisco,Southern,,,,Y,,,,,Temporarily Closed,,,,Y,
Nia Soul Foods,"4618 3rd St, San Francisco, CA 94124",37.736197,-122.39058,(415) 850-5408,https://niasoulfoods.com/,https://www.yelp.com/biz/nia-soul-food-san-francisco,https://www.instagram.com/niasoulfood,https://www.facebook.com/niasoulfood/,San Francisco,San Francisco,Southern,,,,Y,,,,,"Delivery, Catering",,Y,Y,,
Big H BBQ,"4101 3rd St, San Francisco, CA 94124",37.740074,-122.388535,,,,https://www.instagram.com/bigh_bbq_pop_up,,San Francisco (Bayview),San Francisco,Barbecue,,,,,Y,,,,Takeout,Y,,,,
Rome's Kitchen,"4101 3rd St, San Francisco, CA 94124",37.740074,-122.388535,(510) 467-457,,,https://www.instagram.com/romes_kitchen,,San Francisco (Bayview),San Francisco,Italian,,,,,,,,Y,"Takeout, Catering",Y,,Y,,
Camisha's Cakes,"255 Mendell St, San Francisco, CA 94124",37.741834,-122.383539,(415) 289-9898,www.camishascakes.com/,https://www.yelp.com/biz/camishas-cakes-san-francisco,https://www.instagram.com/camishascakes,https://www.facebook.com/camishascakes/,San Francisco,San Francisco,Dessert,,,,,,Y,,,Catering,,,Y,,
Dixon's,"8999 International Blvd, Oakland, CA 94621",37.749826,-122.174992,(510) 567-3222,www.yelp.com/biz/dixons-oakland-3,https://www.yelp.com/biz/dixons-oakland-3,https://www.instagram.com/dixonsrestaurant_,,Oakland,East Bay,Southern,,,,Y,,,,,"Takeout, Delivery",Y,Y,,,
Peaches Patties,"2948 Folsom St, San Francisco, CA 94110",37.75015,-122.414155,(415) 562-7589,https://peachespatties.com/,https://www.yelp.com/biz/peaches-patties-san-francisco-2,https://www.instagram.com/peachespatties,https://www.facebook.com/PeachesPatties/,San Francisco (Mission),San Francisco,Jamaican,,Y,,,,,,,"Takeout, Catering",Y,,Y,,
Teranga,"2948 Folsom St, San Francisco, CA 94110",37.75015,-122.414155,(415) 879-8372,www.terangajuice.com/,https://www.yelp.com/biz/teranga-baobab-san-francisco,https://www.instagram.com/terangalife,https://www.facebook.com/terangalife/,San Francisco (Mission),San Francisco,Senegalese,Y,,,,,,,,Delivery,,Y,,,
Anthony's Cookies,"1417 Valencia St, San Francisco, CA 94110",37.75018,-122.420289,(415) 655-9834,http://anthonyscookies.com/,https://www.yelp.com/biz/anthonys-cookies-san-francisco-2,https://www.instagram.com/anthonyscookies,https://www.facebook.com/Anthonys-Cookies-110621668978801/,San Francisco (Mission),San Francisco,Dessert,,,,,,Y,,,Takeout,Y,,,,
Roderick’s BBQ,"2708 98th Ave, Oakland, CA 94605",37.751561,-122.15367,(510) 564-4648,www.rodericksfoodtruck.com/,https://www.yelp.com/biz/rodericks-restaurant-and-mobile-catering-oakland,https://www.instagram.com/rodericksbbq,https://www.facebook.com/Rodericksbbq/,Oakland,East Bay,Barbecue,,,,,Y,,,,"Takeout, Catering",Y,,Y,,
Enat Winery,"910 81st Ave, Oakland, CA 94621",37.751966,-122.18735,(510) 632-6629,,https://www.yelp.com/biz/enat-winery-oakland,,,Oakland,East Bay,Wine,,,,,,,Y,,Pickup,,,,,
El Nuevo Frutilandia,"3077 24th St, San Francisco, CA 94110",37.752415,-122.41338,(415) 648-2958,https://www.frutilandiasf.com/,https://www.yelp.com/biz/el-nuevo-frutilandia-san-francisco,https://www.instagram.com/elnuevofrutilandia,https://www.facebook.com/ElNuevoFrutilandia/,San Francisco (Mission),San Francisco,"Cuban, Puerto Rican",,Y,,,,,,,"Takeout, Delivery",Y,Y,,,
MexiQ,"90th Ave, Oakland, CA 94603",37.755495,-122.161551,(510) 701-3239,www.mexiqnow.com/,https://www.yelp.com/biz/mexiq-oakland,https://www.instagram.com/eastoaklandsmoke,,Oakland,East Bay,Mexican,,,,,,,,Y,"Takeout, Delivery, Catering",Y,Y,Y,,
Gourmonade,"899 Valencia St, San Francisco, CA 94110",37.758751,-122.420978,(415) 967-2411,www.gourmonade.com/,https://www.yelp.com/biz/gourmonade-san-francisco,https://www.instagram.com/gourmonade,https://www.facebook.com/gourmonade/,San Francisco (Mission),San Francisco,American,,,Y,,,,,,Takeout,Y,,,,
Cafe Ethiopia,"878 Valencia St, San Francisco, CA 94110",37.758879,-122.421625,(415) 285-2728,,www.yelp.com/biz/cafe-ethiopia-san-francisco,,,San Francisco (Mission),San Francisco,Ethiopian,Y,,,,,,,,Takeout,Y,,,,
Ungrafted,"2419 3rd St, San Francisco, CA 94107",37.758987,-122.388185,(415) 814-2129,www.ungraftedsf.com,https://www.yelp.com/biz/ungrafted-san-francisco-2,https://www.instagram.com/ungrafted_sf,https://www.facebook.com/ungraftedsf/,San Francisco (Dogpatch),San Francisco,Bar,,,,,,,Y,,Takeout,Y,,,,
Little Baobab,"3386 19th St, San Francisco, CA 94110",37.760422,-122.418835,(415) 826-9287,www.bissapbaobab.com/,https://www.yelp.com/biz/little-baobab-san-francisco-5,https://www.instagram.com/bissapbaobab,https://www.facebook.com/BissapBaobabVillage/,San Francisco (Mission),San Francisco,Senegalese,Y,,,,,,,,"Takeout, Delivery",Y,Y,,,
Sunset Cantina,"3414 Judah St, San Francisco, CA 94122",37.760986,-122.498785,(415) 571-8874,https://sunsetcantinasf.com/,https://www.yelp.com/biz/sunset-cantina-san-francisco,https://www.instagram.com/sunsetcantinasf,https://www.facebook.com/sunsetcantinasf/,San Francisco (Outer Sunset),San Francisco,Mexican,,,,,,,,Y,Takeout,Y,,,,
New Eritrea Restaurant,"907 Irving St, San Francisco, CA 94122",37.763841,-122.46764,(415) 681-1288,http://neweritrearestaurant.com/index.html,https://www.yelp.com/biz/new-eritrea-restaurant-and-bar-san-francisco,,https://www.facebook.com/neweritrearestaurant/,San Francisco (Inner Sunset),San Francisco,Eritrean,Y,,,,,,,,"Takeout, Delivery",Y,Y,,,
Mission Bowling Club,"3176 17th St, San Francisco, CA 94110",37.763935,-122.416729,(415) 863-2695,https://missionbowlingclub.com/,https://www.yelp.com/biz/mission-bowling-club-san-francisco,https://www.instagram.com/missionbowlingclub,https://www.facebook.com/missionbowlingclub/,San Francisco (Mission),San Francisco,American,,,Y,,,,,,Takeout,Y,,,,
Soul Bowl'z,"2261 Market St, San Francisco, CA 94114",37.764776,-122.432049,(510) 821-3773,,https://www.yelp.com/biz/soul-bowlz-san-francisco,https://www.instagram.com/soul__bowlz,https://www.facebook.com/pages/category/Restaurant/Soul-Bowlz-126304611390053/,San Francisco (Bayview),San Francisco,Health Food,,,,,,,,Y,Uncertain,,,,,Y
Johnathan's Sandwich House,"2316 Santa Clara Ave, Alameda, CA 94501",37.76551,-122.24263,(510) 522-8040,https://johnathanssandwichalameda.com/,https://www.yelp.com/biz/johnathans-sandwich-house-alameda-2,https://www.instagram.com/johnathans_sandwich_house,https://www.facebook.com/pages/Johnathans-Sandwich-House/147436228618064,Alameda,East Bay,American,,,Y,,,,,,"Takeout, Delivery",Y,Y,,,
510 Cajun Catering,"International Blvd, Oakland, CA 94602",37.766468,-122.202393,(510) 393-5388,www.510cajuncatering.com,https://www.yelp.com/biz/510-cajun-catering-oakland-4,https://www.instagram.com/510cajuncatering,https://www.facebook.com/510Cajuncatering/,Oakland,East Bay,Cajun,,,,Y,,,,,Catering,,,Y,,
Chef Kenneth Wynn,"4441 Briarcliff Road Oakland, California 94605",37.766947,-122.140075,(510) 969-9665,www.wynncatering.com,,https://www.instagram.com/iplay4dawynn,https://www.facebook.com/foodiefridayliegeoak/,Oakland,East Bay,"Caribbean, Southern",,Y,,Y,,,,,"Catering, Pop Up",,,Y,,
Grandma's Hands,"7633 MacArthur Blvd, Oakland, CA 94605",37.767245,-122.169501,(510) 969-4017,,https://www.yelp.com/biz/grandma-s-hands-oakland,https://www.instagram.com/grandmashand.s,https://www.facebook.com/pages/category/Restaurant/Grandmas-Hands-111716370469413/,Oakland,East Bay,Southern,,,,Y,,,,,Takeout,Y,,,,
Fat Man Super BBQ,"6851 Foothill Ave, Oakland, CA 94605",37.769645,-122.177243,(415) 559-5721,,https://www.yelp.com/biz/oaklands-fat-man-super-bbq-oakland,https://www.instagram.com/oaklandsfatmansuperbbq,https://www.facebook.com/pages/category/Barbecue-Restaurant/Fat-Man-SuperBBQ-718792168196358/,Oakland,East Bay,Barbecue,,,,,Y,,,,Takeout,Y,,,,
